,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
0,2022-08-30,00:24:29,raw,True,0.075,136979,100,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4295658329400661,0.27353316805649464,0.7277633419948031,0.3047116913549251,0.07059476270085195,0.07059476270085195,"['db', 'rand']",0.8365568829353975,0.1683710515252336
4,2022-08-30,00:24:29,raw,True,0.075,136979,101,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4321480196588609,0.2756306239858386,0.6990273101384212,0.3127458364716713,0.07169712145657363,0.07169712145657363,"['db', 'rand']",0.8286387096031822,0.16823616386148438
8,2022-08-30,00:24:29,raw,True,0.075,136979,102,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43162419032629096,0.2752045700169832,0.7800875273522976,0.2983513264708344,0.06854335336073412,0.06854335336073412,"['db', 'rand']",0.8278318573400812,0.16840407483628206
12,2022-08-30,00:24:29,raw,True,0.075,136979,103,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4221830985915493,0.26757420218701183,0.7065409546258102,0.3010293748430831,0.07187963118434212,0.07187963118434212,"['db', 'rand']",0.8257381413083179,0.1681335974929463
16,2022-08-30,00:24:29,raw,True,0.075,136979,104,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.3618671926364235,0.22090223149783272,0.8439129101502607,0.23031216001339025,0.07085757670883858,0.07085757670883858,"['db', 'rand']",0.8381050942970819,0.16811990583909114
20,2022-08-30,00:24:29,raw,True,0.075,136979,105,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4292590171727376,0.2732844064462435,0.7401639344262295,0.3022847100175747,0.07012023740865388,0.07012023740865388,"['db', 'rand']",0.8267947528476085,0.16807246956517274
24,2022-08-30,00:24:29,raw,True,0.075,136979,106,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4077597924131966,0.2560918826633556,0.7788529620014161,0.2761737383881496,0.06998153001554983,0.06998153001554983,"['db', 'rand']",0.8379289564800586,0.1679582206980358
28,2022-08-30,00:24:29,raw,True,0.075,136979,107,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4321151984511133,0.2756039206606468,0.7798645992574798,0.29885346054063106,0.0685214521934019,0.0685214521934019,"['db', 'rand']",0.8255912750410279,0.1679403766407553
32,2022-08-30,00:24:29,raw,True,0.075,136979,108,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.3638156597199395,0.2223561555769849,0.8482526057633354,0.23156749518788186,0.07064586542462713,0.07064586542462713,"['db', 'rand']",0.8263712068149501,0.16766969826464256
36,2022-08-30,00:24:29,raw,True,0.075,136979,109,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4273149279257268,0.2717104241106105,0.7908659281030974,0.2927441626914386,0.06844844830229453,0.06844844830229453,"['db', 'rand']",0.837578658783831,0.16767320994271134
40,2022-08-30,00:24:29,raw,True,0.075,136979,110,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.42814643919616296,0.2723831595210506,0.7797434763379035,0.2950874550171563,0.06876236503405632,0.06876236503405632,"['db', 'rand']",0.8374654756787013,0.16759853436706448
44,2022-08-30,00:24:29,raw,True,0.075,136979,111,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.3634815639531076,0.2221066111733632,0.8358433734939759,0.23223700728094396,0.0709524817672782,0.0709524817672782,"['db', 'rand']",0.8350874657206621,0.16744414268663074
48,2022-08-30,00:24:29,raw,True,0.075,136979,112,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.36974789915966383,0.2268041237113402,0.7917582417582417,0.2411917315256507,0.0717263230130166,0.0717263230130166,"['db', 'rand']",0.8347818722680583,0.16739880659765669
52,2022-08-30,00:24:29,raw,True,0.075,136979,113,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4232329440688384,0.26841818040071724,0.7968062948391575,0.2881412670516361,0.06850685141518043,0.06850685141518043,"['db', 'rand']",0.8433286099631553,0.16745815230484104
56,2022-08-30,00:24:29,raw,True,0.075,136979,114,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4315296437815851,0.2751277013752456,0.8185644143090952,0.29299522972633696,0.0673387891574621,0.0673387891574621,"['db', 'rand']",0.8315721092624411,0.16724833846732265
60,2022-08-30,00:24:29,raw,True,0.075,136979,115,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4323173328466265,0.27576839490841354,0.7916666666666666,0.2973470583312411,0.06811993079231123,0.06811993079231123,"['db', 'rand']",0.8215823221469889,0.16713005061079786
64,2022-08-30,00:24:29,raw,True,0.075,136979,116,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4587520448702968,0.2976497346474602,0.7598219469711631,0.3285630596702653,0.06763080472189167,0.06763080472189167,"['db', 'rand']",0.83706496333377,0.1672367523280188
68,2022-08-30,00:24:29,raw,True,0.075,136979,117,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4216581662910687,0.2671526264372135,0.7235904742519845,0.29751443635450664,0.0711933946079326,0.0711933946079326,"['db', 'rand']",0.8305478359734326,0.16687965245533673
72,2022-08-30,00:24:29,raw,True,0.075,136979,118,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4236136840805236,0.2687245377624569,0.8080094228504122,0.2870533099004101,0.06814183195964345,0.06814183195964345,"['db', 'rand']",0.8365986703141092,0.16696703306798627
76,2022-08-30,00:24:29,raw,True,0.075,136979,119,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4501127884782231,0.2904164800716525,0.7286516853932584,0.32563394426311826,0.0694047992758014,0.0694047992758014,"['db', 'rand']",0.8400669120483213,0.1668819479170824
80,2022-08-30,00:24:29,raw,True,0.075,136979,120,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4286762009534287,0.27281213535589266,0.7946974847042828,0.2934973637961336,0.0682440374071938,0.0682440374071938,"['db', 'rand']",0.8338931687567883,0.16682494478536986
84,2022-08-30,00:24:29,raw,True,0.075,136979,121,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4284494327192875,0.2726284738394659,0.7901012373453319,0.2939158088542974,0.06840464596763007,0.06840464596763007,"['db', 'rand']",0.8191293779244431,0.16685995934419498
88,2022-08-30,00:24:29,raw,True,0.075,136979,122,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4134552189759217,0.2606010393914288,0.7226399331662491,0.2895639802493933,0.07166791990013067,0.07166791990013067,"['db', 'rand']",0.8322072409553846,0.16653781977493853
92,2022-08-30,00:24:29,raw,True,0.075,136979,123,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4989146950293033,0.33236931530619623,0.7095230745485415,0.3847183864758557,0.0674117930485695,0.0674117930485695,"['db', 'rand']",0.8234130736647026,0.16676467737594655
96,2022-08-30,00:24:29,raw,True,0.075,136979,124,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4474657125819917,0.28821631587033336,0.7782617714167185,0.3140011716461629,0.06764540550011315,0.06764540550011315,"['db', 'rand']",0.8293747776716238,0.16653840645807985
