,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
20,2022-09-05,20-47PM,cc,True,0.075,136979,440,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7383003720383786,0.5851633429037014,0.9239157069345748,0.6147888472199576,0.03902788018601392,0.03902788018601392,"['db', 'rand']",0.9281112883523664,0.16524128819261907
22,2022-09-05,20-48PM,cc,True,0.075,136979,441,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.729900803023146,0.5746801547158584,0.8676999101527404,0.6298711886515571,0.04174362493520905,0.04174362493520905,"['db', 'rand']",0.9332035371488562,0.16523850912233196
24,2022-09-05,20-49PM,cc,True,0.075,136979,442,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7290913592473384,0.5736772383698278,0.9284903518728718,0.6001956628077613,0.03994042882485637,0.03994042882485637,"['db', 'rand']",0.9286253450627396,0.1652228665125292
26,2022-09-05,20-50PM,cc,True,0.075,136979,443,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7327209313749571,0.5781843553763858,0.921764923989618,0.608022175118213,0.039721417151534176,0.039721417151534176,"['db', 'rand']",0.9277050799394488,0.16522419838132474
28,2022-09-05,20-52PM,cc,True,0.075,136979,444,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7299985302043015,0.5748013270580974,0.9146715776550032,0.6073699657590086,0.04023244438928595,0.04023244438928595,"['db', 'rand']",0.9282747165992294,0.16522478282603115
30,2022-09-05,20-53PM,cc,True,0.075,136979,445,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7352696282509673,0.5813647277515297,0.9208686050791314,0.6119354312734387,0.03945860314354755,0.03945860314354755,"['db', 'rand']",0.9348111308308374,0.1652543702460227
32,2022-09-05,20-54PM,cc,True,0.075,136979,446,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7337499384933328,0.5794668531903319,0.9254064788382772,0.6078591227784119,0.03950240547821199,0.03950240547821199,"['db', 'rand']",0.9355084763874824,0.1652022041590539
34,2022-09-05,20-55PM,cc,True,0.075,136979,447,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7232111340830015,0.5664296998420221,0.9479180436219432,0.5846241643567586,0.04007183582884968,0.04007183582884968,"['db', 'rand']",0.9319787775031028,0.16521947443084206
36,2022-09-05,20-56PM,cc,True,0.075,136979,448,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7428233787975774,0.5908663637787874,0.937834141489494,0.6149518995597587,0.03812993232539294,0.03812993232539294,"['db', 'rand']",0.9332100159584406,0.16521672616568356
38,2022-09-05,20-57PM,cc,True,0.075,136979,449,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7251541486624266,0.5688171224007922,0.8964109950786221,0.6088374368172184,0.04132750275589689,0.04132750275589689,"['db', 'rand']",0.9326464323292704,0.16518860385466316
