,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
0,2022-08-30,01:22:12,raw,True,0.075,136979,550,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7410838812512454,0.5886681965656406,0.9153439153439152,0.6225625575361955,0.03794742259762445,0.03794742259762445,"['db', 'rand']",0.8306690422309738,0.16098955304383866
4,2022-08-30,01:22:12,raw,True,0.075,136979,551,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7290605257794986,0.5736390603704,0.9317619481703346,0.5987948782324881,0.0388234692909132,0.0388234692909132,"['db', 'rand']",0.8279153934069602,0.16097431047433922
8,2022-08-30,01:22:12,raw,True,0.075,136979,552,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7239907784372394,0.5673867917275314,0.8746148376392509,0.6176249058498621,0.04107928952613174,0.04107928952613174,"['db', 'rand']",0.8263607006950578,0.16096068533397975
12,2022-08-30,01:22:12,raw,True,0.075,136979,553,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7295364768238412,0.5742285894206549,0.9062111801242236,0.6105113398610762,0.03948780469999051,0.03948780469999051,"['db', 'rand']",0.8372140534501704,0.16097829904564462
16,2022-08-30,01:22:12,raw,True,0.075,136979,554,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7312043247572328,0.5762979327757614,0.9097023290571676,0.6112645409657712,0.039203089524671664,0.039203089524671664,"['db', 'rand']",0.8368468598086449,0.1609604381468059
20,2022-08-30,01:22:12,raw,True,0.075,136979,555,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7316806597446469,0.5768899334116725,0.9002444987775061,0.6162858816637375,0.03942940158710459,0.03942940158710459,"['db', 'rand']",0.8336646939363683,0.16096601430145194
24,2022-08-30,01:22:12,raw,True,0.075,136979,556,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7294023824951404,0.5740624509650086,0.9017747103771261,0.6123524981169972,0.0396338124822053,0.0396338124822053,"['db', 'rand']",0.8391042479048663,0.16095199828771325
28,2022-08-30,01:22:12,raw,True,0.075,136979,557,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7389506841224529,0.5859807977519319,0.8970008364201218,0.628253410327224,0.03872126384336285,0.03872126384336285,"['db', 'rand']",0.8270118321809595,0.16096262797574035
32,2022-08-30,01:22:12,raw,True,0.075,136979,558,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7308223230132125,0.5758234928527035,0.8892621475704859,0.6203029542221107,0.039860124544638234,0.039860124544638234,"['db', 'rand']",0.8336286612948615,0.16094790291108307
36,2022-08-30,01:22:12,raw,True,0.075,136979,559,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7410342579124242,0.5886055776892429,0.9247621432148222,0.6182107289312914,0.037691908978748564,0.037691908978748564,"['db', 'rand']",0.8275199766077711,0.1609737180352223
40,2022-08-30,01:22:12,raw,True,0.075,136979,560,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7267124671650839,0.5707371260810918,0.9166560468969032,0.6019750606745334,0.03949510508910125,0.03949510508910125,"['db', 'rand']",0.8281180201202553,0.16094053622166093
44,2022-08-30,01:22:12,raw,True,0.075,136979,561,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7295155057960963,0.5742026046946892,0.8938934077940998,0.6162021926521047,0.039860124544638234,0.039860124544638234,"['db', 'rand']",0.8346991911089489,0.1609291432273157
48,2022-08-30,01:22:12,raw,True,0.075,136979,562,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7372442567737395,0.5838375796178344,0.9230866062437059,0.6136915223031216,0.0381591338818359,0.0381591338818359,"['db', 'rand']",0.8305702565987062,0.16094415267980386
52,2022-08-30,01:22:12,raw,True,0.075,136979,563,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7197474570326201,0.5621917808219178,0.8968531468531469,0.6010544815465729,0.0408310762963666,0.0408310762963666,"['db', 'rand']",0.8304218551163998,0.16091530404993806
56,2022-08-30,01:22:12,raw,True,0.075,136979,564,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7218246408896669,0.5647305244501732,0.937918116135938,0.586659971545736,0.03944400236532608,0.03944400236532608,"['db', 'rand']",0.8349674938612511,0.16092056852916525
60,2022-08-30,01:22:12,raw,True,0.075,136979,565,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7109727626459144,0.5515575947838687,0.9352989352989352,0.5734371077077579,0.040670467735930325,0.040670467735930325,"['db', 'rand']",0.8299066359883622,0.16092761448283666
64,2022-08-30,01:22:12,raw,True,0.075,136979,566,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7347540017676519,0.5807202732070785,0.8889152904835452,0.6261611850364047,0.039436701976215335,0.039436701976215335,"['db', 'rand']",0.8359816488302116,0.16091471331629542
68,2022-08-30,01:22:12,raw,True,0.075,136979,567,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7323511963614792,0.5777240464862335,0.8946732697185651,0.6198845091639468,0.03952430664554421,0.03952430664554421,"['db', 'rand']",0.8357261061957122,0.16091307957855794
72,2022-08-30,01:22:12,raw,True,0.075,136979,568,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7350186322892537,0.5810509554140127,0.922746238462511,0.6107624068959746,0.03841464750071179,0.03841464750071179,"['db', 'rand']",0.8348653855472473,0.16092935449293816
